stage,generation,sample_accuracy_percent,sample_loss,test_accuracy_percent,test_loss
generation,288,35.50000190734863,80.44380950927734,,
generation,289,34.75000262260437,88.05265808105469,,
generation,290,36.250001192092896,78.67681884765625,,
generation,291,35.450002551078796,77.3818359375,,
generation,292,36.15000247955322,82.8597640991211,,
generation,293,35.750001668930054,88.11664581298828,,
generation,294,36.75000071525574,80.15640258789062,,
generation,295,35.95000207424164,94.43952178955078,,
generation,296,34.25000309944153,82.60257720947266,,
generation,297,37.35000193119049,93.90026092529297,,
generation,298,37.00000047683716,79.36540985107422,,
generation,299,36.100003123283386,75.77733612060547,,
generation,300,35.40000021457672,98.81172180175781,,
generation,301,36.55000030994415,81.87614440917969,,
generation,302,36.75000071525574,91.33320617675781,,
generation,303,35.100001096725464,86.72392272949219,,
generation,304,35.100001096725464,84.33426666259766,,
generation,305,36.500000953674316,79.02176666259766,,
generation,306,38.850000500679016,77.12223815917969,,
generation,307,35.95000207424164,87.59113311767578,,
generation,308,35.9000027179718,83.22694396972656,,
generation,309,35.30000150203705,88.47616577148438,,
generation,310,35.100001096725464,93.81512451171875,,
generation,311,35.9000027179718,80.52288055419922,,
generation,312,36.55000030994415,83.38462829589844,,
generation,313,36.100003123283386,89.25682067871094,,
generation,314,36.45000159740448,78.04505920410156,,
generation,315,34.950003027915955,91.8494644165039,,
generation,316,37.950003147125244,86.95243835449219,,
generation,317,37.300002574920654,88.2254409790039,,
generation,318,39.0500009059906,85.8530044555664,,
generation,319,36.75000071525574,89.8465347290039,,
generation,320,36.60000264644623,81.80740356445312,,
generation,321,36.250001192092896,84.47137451171875,,
generation,322,35.85000038146973,86.98092651367188,,
generation,323,35.200002789497375,86.1954574584961,,
generation,324,37.300002574920654,81.19708251953125,,
generation,325,35.450002551078796,88.7793960571289,,
generation,326,35.750001668930054,86.66930389404297,,
generation,327,36.650002002716064,84.5045166015625,,
generation,328,37.35000193119049,80.07852172851562,,
generation,329,34.950003027915955,90.08186340332031,,
generation,330,36.000001430511475,78.08558654785156,,
generation,331,36.05000078678131,81.24356842041016,,
generation,332,36.900001764297485,71.67610168457031,,
generation,333,36.80000305175781,78.34834289550781,,
generation,334,38.65000307559967,69.55542755126953,,
generation,335,37.550002336502075,82.24626159667969,,
generation,336,35.70000231266022,84.41984558105469,,
generation,337,38.200002908706665,79.74201965332031,,
generation,338,36.000001430511475,90.88833618164062,,
generation,339,36.30000054836273,79.66678619384766,,
generation,340,37.10000216960907,80.596923828125,,
generation,341,38.00000250339508,83.7879867553711,,
generation,342,36.80000305175781,88.16032409667969,,
generation,343,36.15000247955322,78.19100952148438,,
generation,344,37.05000281333923,81.90270233154297,,
generation,345,36.55000030994415,83.07167053222656,,
generation,346,38.2500022649765,85.3132095336914,,
generation,347,37.300002574920654,73.95989227294922,,
generation,348,37.35000193119049,80.85917663574219,,
generation,349,37.25000321865082,80.60855102539062,,
generation,350,36.650002002716064,74.08138275146484,,
generation,351,36.95000112056732,84.41888427734375,,
generation,352,37.950003147125244,86.95040130615234,,
generation,353,37.25000321865082,80.4597396850586,,
generation,354,39.000001549720764,77.97537231445312,,
generation,355,38.40000033378601,75.08892059326172,,
generation,356,36.35000288486481,84.7458267211914,,
generation,357,37.50000298023224,80.86448669433594,,
generation,358,35.65000295639038,86.31400299072266,,
generation,359,37.85000145435333,81.75276184082031,,
generation,360,37.90000081062317,81.94564819335938,,
generation,361,38.10000121593475,72.82430267333984,,
generation,362,37.75000274181366,78.30107879638672,,
generation,363,38.80000114440918,76.22042846679688,,
generation,364,37.85000145435333,77.59464263916016,,
generation,365,36.60000264644623,80.38978576660156,,
generation,366,37.550002336502075,84.56260681152344,,
generation,367,37.40000128746033,74.73811340332031,,
generation,368,38.65000307559967,72.31393432617188,,
generation,369,37.85000145435333,76.72200012207031,,
generation,370,37.90000081062317,73.81183624267578,,
generation,371,37.800002098083496,84.76317596435547,,
generation,372,35.750001668930054,76.71693420410156,,
generation,373,37.00000047683716,76.41842651367188,,
generation,374,37.950003147125244,73.06820678710938,,
generation,375,38.65000307559967,69.03858184814453,,
generation,376,37.60000169277191,81.50542449951172,,
generation,377,37.05000281333923,81.89545440673828,,
generation,378,38.30000162124634,71.83673095703125,,
generation,379,37.700000405311584,79.39669799804688,,
generation,380,37.20000088214874,86.7500228881836,,
generation,381,37.40000128746033,75.73896789550781,,
generation,382,36.650002002716064,77.62899017333984,,
generation,383,38.00000250339508,81.616943359375,,
generation,384,37.700000405311584,78.12032318115234,,
generation,385,38.55000138282776,72.43733215332031,,
generation,386,39.000001549720764,72.76907348632812,,
generation,387,37.450000643730164,77.73490905761719,,
generation,388,37.85000145435333,81.46610260009766,,
generation,389,38.70000243186951,85.10893249511719,,
generation,390,37.35000193119049,75.70774841308594,,
generation,391,36.900001764297485,78.96852111816406,,
generation,392,37.65000104904175,77.93537902832031,,
generation,393,38.850000500679016,74.00579833984375,,
generation,394,39.0500009059906,79.6188735961914,,
generation,395,39.20000195503235,76.86309814453125,,
generation,396,38.55000138282776,72.65717315673828,,
generation,397,37.35000193119049,75.48715209960938,,
generation,398,39.15000259876251,79.84705352783203,,
generation,399,39.70000147819519,76.51551055908203,,
generation,400,37.10000216960907,75.87696075439453,,
generation,401,39.55000042915344,73.60159301757812,,
generation,402,38.200002908706665,71.21910858154297,,
generation,403,38.15000057220459,75.45756530761719,,
generation,404,36.95000112056732,67.7989501953125,,
generation,405,40.10000228881836,67.28614807128906,,
generation,406,37.10000216960907,78.97026824951172,,
generation,407,37.60000169277191,74.69778442382812,,
generation,408,38.15000057220459,71.12310791015625,,
generation,409,37.950003147125244,72.32904815673828,,
generation,410,38.50000202655792,67.1991958618164,,
generation,411,37.35000193119049,73.02513122558594,,
generation,412,38.350000977516174,77.00190734863281,,
generation,413,40.00000059604645,66.53048706054688,,
generation,414,38.600000739097595,67.992919921875,,
generation,415,39.100003242492676,71.1159896850586,,
generation,416,39.8000031709671,70.8761978149414,,
generation,417,38.75000178813934,73.34770965576172,,
generation,418,38.10000121593475,67.74129486083984,,
generation,419,38.850000500679016,65.25601196289062,,
generation,420,40.75000286102295,67.07736206054688,,
generation,421,37.65000104904175,70.8658676147461,,
generation,422,39.45000171661377,73.64718627929688,,
generation,423,38.50000202655792,70.56672668457031,,
generation,424,39.45000171661377,67.29480743408203,,
generation,425,38.40000033378601,65.66419219970703,,
generation,426,38.600000739097595,75.13127899169922,,
generation,427,41.450002789497375,60.452545166015625,,
generation,428,38.70000243186951,67.7013168334961,,
generation,429,40.00000059604645,67.17375946044922,,
generation,430,38.600000739097595,66.52299499511719,,
generation,431,38.95000219345093,72.86473846435547,,
generation,432,39.60000276565552,68.41149139404297,,
generation,433,40.300002694129944,63.773521423339844,,
generation,434,41.600000858306885,64.50304412841797,,
generation,435,38.80000114440918,67.65067291259766,,
generation,436,39.8000031709671,72.121337890625,,
generation,437,38.00000250339508,68.09220886230469,,
generation,438,39.8000031709671,69.13070678710938,,
generation,439,39.40000236034393,68.19185638427734,,
generation,440,39.500001072883606,70.25591278076172,,
generation,441,41.15000069141388,68.650390625,,
generation,442,39.15000259876251,70.39125061035156,,
generation,443,39.85000252723694,65.87260437011719,,
generation,444,39.15000259876251,67.43537902832031,,
generation,445,39.55000042915344,63.770267486572266,,
generation,446,40.550002455711365,59.916297912597656,,
generation,447,39.650002121925354,61.30049514770508,,
generation,448,39.45000171661377,68.36627960205078,,
generation,449,41.40000343322754,60.44789123535156,,
generation,450,39.0500009059906,57.02793884277344,,
generation,451,40.10000228881836,66.03607940673828,,
generation,452,41.00000262260437,58.62276840209961,,
generation,453,40.10000228881836,66.58351135253906,,
generation,454,40.20000100135803,58.01905059814453,,
generation,455,39.75000083446503,64.86495208740234,,
generation,456,41.700002551078796,60.433326721191406,,
generation,457,39.85000252723694,67.42539978027344,,
generation,458,42.85000264644623,59.584835052490234,,
generation,459,41.350001096725464,62.95500564575195,,
generation,460,39.900001883506775,61.51414489746094,,
generation,461,42.750000953674316,61.78401184082031,,
generation,462,40.75000286102295,60.88079071044922,,
generation,463,42.45000183582306,64.07575225830078,,
generation,464,40.25000333786011,64.03822326660156,,
generation,465,41.90000295639038,58.744049072265625,,
generation,466,42.750000953674316,58.93412399291992,,
generation,467,41.600000858306885,63.0042610168457,,
generation,468,42.750000953674316,59.6917724609375,,
generation,469,41.40000343322754,60.956626892089844,,
generation,470,41.850000619888306,64.56839752197266,,
generation,471,42.60000288486481,56.382850646972656,,
generation,472,40.40000140666962,65.4874496459961,,
generation,473,41.30000174045563,63.57132339477539,,
generation,474,41.200003027915955,60.69536590576172,,
generation,475,43.20000112056732,65.1745376586914,,
generation,476,41.05000197887421,58.47467041015625,,
generation,477,43.85000169277191,60.58441162109375,,
generation,478,42.30000078678131,58.643043518066406,,
generation,479,44.65000331401825,56.4448127746582,,
generation,480,44.00000274181366,56.93867111206055,,
generation,481,42.45000183582306,60.23464584350586,,
generation,482,41.50000214576721,59.3140869140625,,
generation,483,41.55000150203705,62.9969482421875,,
generation,484,43.800002336502075,57.89508056640625,,
generation,485,44.25000250339508,57.93037033081055,,
generation,486,43.85000169277191,62.65999984741211,,
generation,487,43.10000240802765,62.018253326416016,,
generation,488,41.700002551078796,63.474246978759766,,
generation,489,42.000001668930054,55.87074661254883,,
generation,490,41.80000126361847,64.23963928222656,,
generation,491,41.40000343322754,60.320098876953125,,
generation,492,42.650002241134644,58.9459228515625,,
generation,493,41.80000126361847,61.36760711669922,,
generation,494,42.30000078678131,60.005882263183594,,
generation,495,42.1500027179718,61.83116149902344,,
generation,496,41.50000214576721,57.799766540527344,,
generation,497,42.100003361701965,64.36333465576172,,
generation,498,41.90000295639038,53.93968200683594,,
generation,499,42.85000264644623,60.30571746826172,,
generation,500,42.100003361701965,58.25833511352539,,
generation,501,41.30000174045563,59.741355895996094,,
generation,502,43.150001764297485,56.37079620361328,,
generation,503,43.800002336502075,62.751094818115234,,
generation,504,43.00000071525574,57.32854080200195,,
generation,505,42.750000953674316,59.91917037963867,,
generation,506,43.05000305175781,60.766788482666016,,
generation,507,41.30000174045563,58.70101547241211,,
generation,508,41.200003027915955,60.23813247680664,,
generation,509,42.750000953674316,57.36430740356445,,
generation,510,42.45000183582306,66.26385498046875,,
generation,511,43.00000071525574,60.564842224121094,,
generation,512,41.75000190734863,63.53715133666992,,
generation,513,45.350003242492676,56.23318099975586,,
generation,514,43.05000305175781,58.6859130859375,,
generation,515,43.50000321865082,55.57264709472656,,
generation,516,43.10000240802765,61.67567825317383,,
generation,517,42.45000183582306,63.262657165527344,,
generation,518,42.80000329017639,61.45274353027344,,
generation,519,43.90000104904175,65.8579330444336,,
generation,520,43.65000128746033,61.89395523071289,,
generation,521,42.20000207424164,61.69562530517578,,
generation,522,43.20000112056732,61.4818000793457,,
generation,523,40.40000140666962,58.688209533691406,,
generation,524,41.700002551078796,59.82538986206055,,
generation,525,42.750000953674316,57.47928237915039,,
generation,526,44.15000081062317,59.405208587646484,,
generation,527,42.60000288486481,60.206443786621094,,
generation,528,43.550002574920654,54.2275505065918,,
generation,529,43.85000169277191,59.60764694213867,,
generation,530,42.500001192092896,59.07517623901367,,
generation,531,41.50000214576721,57.84165954589844,,
generation,532,41.600000858306885,62.5019416809082,,
generation,533,44.10000145435333,56.80929946899414,,
generation,534,42.45000183582306,60.96485137939453,,
generation,535,42.60000288486481,56.089359283447266,,
generation,536,41.25000238418579,57.693782806396484,,
generation,537,42.70000159740448,54.64849853515625,,
generation,538,42.05000102519989,57.14016342163086,,
generation,539,43.550002574920654,56.69429016113281,,
generation,540,42.60000288486481,57.88568115234375,,
generation,541,42.750000953674316,56.28709411621094,,
generation,542,43.75000298023224,50.69629669189453,,
generation,543,42.750000953674316,57.732948303222656,,
generation,544,43.35000216960907,57.0748405456543,,
generation,545,41.90000295639038,60.05354309082031,,
generation,546,44.200003147125244,56.896034240722656,,
generation,547,43.95000338554382,59.96662521362305,,
generation,548,44.00000274181366,54.76584243774414,,
generation,549,43.700000643730164,55.898128509521484,,
generation,550,43.20000112056732,55.19896697998047,,
generation,551,45.6000030040741,56.72987365722656,,
generation,552,43.550002574920654,58.87097930908203,,
generation,553,42.9500013589859,59.47802734375,,
generation,554,44.95000243186951,50.37150955200195,,
generation,555,44.600000977516174,58.3361930847168,,
generation,556,43.400001525878906,55.93319320678711,,
generation,557,43.90000104904175,58.37583541870117,,
generation,558,42.20000207424164,57.92392349243164,,
generation,559,42.100003361701965,52.66599655151367,,
generation,560,42.40000247955322,55.86145782470703,,
generation,561,44.35000121593475,52.94632339477539,,
generation,562,43.65000128746033,54.42942428588867,,
generation,563,42.70000159740448,55.771484375,,
generation,564,44.30000185966492,54.94590377807617,,
generation,565,44.30000185966492,53.83985137939453,,
generation,566,43.10000240802765,54.205665588378906,,
generation,567,44.050002098083496,54.76862716674805,,
generation,568,44.30000185966492,54.66026306152344,,
generation,569,43.10000240802765,53.78981399536133,,
